37	r
40	l
43	r
89	r
92	l
95	r
102	r
123	r
126	l
132	l
135	r
142	r
149	r
152	l
155	r
190	r
193	l
199	l
202	r
209	r
256	r
260	l
263	r
266	l
269	r
276	r
279	l
282	r
285	l
289	r
292	l
295	r
336	r
339	l
346	l
349	r
356	r
359	l
363	r
366	l
369	r
372	l
375	r
379	l
382	r
388	r
395	r
398	l
402	r
443	r
447	l
450	r
453	l
457	r
460	l
463	r
466	l
470	r
477	r
480	l
484	r
487	l
490	r
493	l
497	r
500	l
503	r
523	r
526	l
529	r
533	l
536	r
543	l
549	r
553	l
556	r
584	r
587	l
590	r
594	l
597	r
630	r
633	l
636	r
639	l
646	l
650	r
664	r
667	l
670	r
677	r
680	l
683	r
687	l
690	r
693	l
697	r
700	l
703	r
707	l
710	r
713	l
717	x
719	y
721	x
723	y
725	x
727	y
730	r
733	l

